Requirement,Cost,Benefit
R3619,8,45
R3620,81,91
R3621,72,44
R3622,62,45
R3623,52,30
R3624,88,50
R3625,5,70
R3626,92,18
R3627,78,87
R3628,86,68
R3629,69,65
R3630,6,68
R3631,33,30
R3632,52,77
R3633,8,43
R3634,66,69
R3635,13,52
R3636,18,71
R3637,85,25
R3638,45,78
R3639,92,66
R3640,85,11
R3641,0,55
R3642,11,59
R3643,70,49
R3644,40,36
R3645,27,73
R3646,23,96
R3647,60,21
R3648,15,35
R3649,44,57
R3650,45,16
R3651,78,23
R3652,100,80
R3653,15,35
R3654,15,51
R3655,30,9
R3656,82,43
R3657,62,15
R3658,81,36
R3659,11,23
R3660,55,54
R3661,67,30
R3662,33,87
R3663,72,76
R3664,24,12
R3665,85,85
R3666,51,100
R3667,41,0
R3668,57,50
R3669,51,6
R3670,40,33
R3671,26,15
R3672,2,68
R3673,18,84
R3674,94,53
R3675,13,13
R3676,59,87
R3677,86,33
R3678,57,5
R3679,28,71
R3680,35,51
R3681,68,90
R3682,48,49
R3683,32,99
R3684,77,59
R3685,6,41
R3686,2,60
R3687,42,73
R3688,57,24
R3689,80,83
R3690,72,60
R3691,86,34
R3692,93,8
R3693,98,52
R3694,61,54
R3695,37,80
R3696,60,76
R3697,93,24
R3698,65,91
R3699,73,11
R3700,65,6
R3701,28,71
R3702,73,80
R3703,67,56
R3704,92,80
R3705,88,68
R3706,96,62
R3707,51,49
R3708,0,35
R3709,7,7
R3710,98,91
R3711,44,63
R3712,10,34
R3713,61,96
R3714,98,1
R3715,40,93
R3716,27,29
R3717,4,5
R3718,96,90
R3719,53,17
R3720,58,13
R3721,30,93
R3722,97,53
R3723,32,78
R3724,69,49
R3725,46,100
R3726,19,89
R3727,62,38
R3728,84,23
R3729,97,11
R3730,25,40
R3731,53,45
R3732,91,69
R3733,81,72
R3734,44,82
R3735,11,96
R3736,48,77
R3737,70,77
R3738,32,41
R3739,64,79
R3740,19,71
R3741,70,2
R3742,22,16
R3743,14,0
R3744,8,72
R3745,35,48
R3746,70,17
R3747,26,98
R3748,38,5
R3749,12,96
R3750,100,42
R3751,63,47
R3752,43,93
R3753,60,96
R3754,26,80
R3755,41,65
R3756,56,54
R3757,56,9
R3758,98,43
R3759,63,19
R3760,95,59
R3761,35,82
R3762,75,58
R3763,4,83
R3764,55,14
R3765,99,73
R3766,83,35
R3767,37,6
R3768,63,24
R3769,6,14
R3770,13,85
R3771,40,59
R3772,30,31
R3773,38,48
R3774,36,1
R3775,73,69
R3776,5,92
R3777,21,29
R3778,23,92
R3779,24,36
R3780,88,92
R3781,43,24
R3782,85,100
R3783,66,4
R3784,26,22
R3785,60,7
R3786,27,89
R3787,28,13
R3788,60,42
R3789,91,16
R3790,57,46
R3791,28,15
R3792,44,56
R3793,18,58
R3794,79,86
R3795,71,99
R3796,74,91
R3797,31,69
R3798,27,71
R3799,55,3
R3800,81,42
R3801,12,13
R3802,56,54
R3803,13,7
R3804,72,26
R3805,64,48
R3806,41,67
R3807,29,80
R3808,54,24
R3809,7,42
R3810,29,75
R3811,94,39
R3812,94,47
R3813,78,85
R3814,37,79
R3815,24,35
R3816,16,36
R3817,91,53
R3818,38,52
R3819,63,12
R3820,52,82
R3821,61,61
R3822,30,99
R3823,27,96
R3824,69,1
R3825,85,77
R3826,86,12
R3827,72,17
R3828,59,29
R3829,73,81
R3830,55,97
R3831,83,83
R3832,75,21
R3833,29,47
R3834,61,1
R3835,14,88
R3836,67,63
R3837,68,55
R3838,66,80
R3839,11,64
R3840,48,96
R3841,79,18
R3842,59,0
R3843,85,91
R3844,84,83
R3845,84,94
R3846,70,82
R3847,10,69
R3848,5,79
R3849,31,26
R3850,67,72
R3851,92,23
R3852,51,53
R3853,67,5
R3854,51,91
R3855,43,47
R3856,86,64
R3857,50,74
R3858,45,88
R3859,23,36
R3860,25,13
R3861,43,65
R3862,78,87
R3863,78,20
R3864,94,4
R3865,75,43
R3866,37,50
R3867,55,47
R3868,66,22
R3869,88,46
R3870,92,20
R3871,94,90
R3872,47,74
R3873,2,17
R3874,65,7
R3875,81,55
R3876,21,10
R3877,25,42
R3878,30,69
R3879,0,68
R3880,32,22
R3881,52,10
R3882,28,4
R3883,12,69
R3884,100,77
R3885,16,54
R3886,66,22
R3887,39,76
R3888,74,17
R3889,74,61
R3890,13,50
R3891,12,73
R3892,44,50
R3893,92,21
R3894,14,36
R3895,65,31
R3896,93,82
R3897,9,44
R3898,37,2
R3899,39,27
R3900,58,58
R3901,11,47
R3902,64,3
R3903,55,82
R3904,53,4
R3905,95,79
R3906,86,13
R3907,6,41
R3908,97,15
R3909,98,84
R3910,91,23
R3911,62,28
R3912,14,81
R3913,19,23
R3914,86,78
R3915,49,78
R3916,37,92
R3917,43,23
R3918,20,65
R3919,39,65
R3920,18,67
R3921,33,25
R3922,92,84
R3923,99,97
R3924,60,49
R3925,96,51
R3926,84,5
R3927,85,47
R3928,56,13
R3929,32,69
R3930,94,34
R3931,56,13
R3932,61,62
R3933,72,83
R3934,64,70
R3935,95,19
R3936,83,83
R3937,44,72
R3938,7,93
R3939,89,81
R3940,39,62
R3941,50,46
R3942,7,75
R3943,35,37
R3944,66,43
R3945,14,23
R3946,3,36
R3947,75,26
R3948,56,64
R3949,77,78
R3950,84,34
R3951,9,92
R3952,9,17
R3953,2,27
R3954,15,73
R3955,75,93
R3956,36,8
R3957,49,19
R3958,78,89
R3959,35,58
R3960,80,19
R3961,38,61
R3962,100,48
R3963,78,28
R3964,89,50
R3965,69,25
R3966,8,53
R3967,35,2
R3968,68,69
R3969,1,65
R3970,18,30
R3971,49,0
R3972,19,50
R3973,5,89
R3974,25,47
R3975,69,94
R3976,7,6
R3977,89,99
R3978,45,40
R3979,1,64
R3980,88,53
R3981,48,47
R3982,15,2
R3983,23,99
R3984,72,80
R3985,41,81
R3986,37,3
R3987,83,83
R3988,51,18
R3989,6,27
R3990,50,42
R3991,40,10
R3992,79,14
R3993,25,97
R3994,73,26
R3995,2,100
R3996,54,5
R3997,77,29
R3998,39,52
R3999,92,71
R4000,38,8
R4001,85,29
R4002,22,47
R4003,11,27
R4004,45,0
R4005,0,5
R4006,91,33
R4007,51,89
R4008,74,31
R4009,98,97
R4010,70,62
R4011,93,75
R4012,83,0
R4013,69,83
R4014,15,17
R4015,57,1
R4016,48,68
R4017,96,100
R4018,73,33
R4019,94,35
R4020,56,91
R4021,90,88
R4022,68,67
R4023,73,30
R4024,53,11
R4025,3,52
R4026,44,1
R4027,99,67
R4028,50,83
R4029,52,24
R4030,32,89
R4031,25,86
R4032,41,67
R4033,85,90
R4034,11,43
R4035,50,73
R4036,18,64
R4037,24,3
R4038,71,89
R4039,63,2
R4040,37,82
R4041,78,96
R4042,85,99
R4043,64,85
R4044,42,47
R4045,95,57
R4046,33,36
R4047,44,7
R4048,6,76
R4049,0,30
R4050,98,47
R4051,38,34
R4052,63,82
R4053,83,21
R4054,81,92
R4055,75,1
R4056,47,45
R4057,88,59
R4058,73,16
R4059,3,40
R4060,12,1
R4061,56,70
R4062,76,90
R4063,58,97
R4064,8,30
R4065,27,38
R4066,26,35
R4067,9,18
R4068,11,22
R4069,5,14
R4070,80,29
R4071,91,36
R4072,30,68
R4073,27,77
R4074,86,19
R4075,79,41
R4076,81,73
R4077,81,2
R4078,35,25
R4079,83,68
R4080,42,62
R4081,99,82
R4082,6,76
R4083,34,45
R4084,82,38
R4085,22,9
R4086,63,70
R4087,63,42
R4088,25,23
R4089,83,92
R4090,53,49
R4091,81,14
R4092,4,1
R4093,10,33
R4094,30,31
R4095,82,75
R4096,88,95
R4097,84,45
R4098,81,51
R4099,2,57
R4100,71,11
R4101,67,24
R4102,57,39
R4103,97,91
R4104,23,70
R4105,96,89
R4106,100,35
R4107,37,68
R4108,45,93
R4109,68,62
R4110,32,80
R4111,72,53
R4112,70,44
R4113,87,74
R4114,0,32
R4115,5,29
R4116,54,67
R4117,45,10
R4118,25,77
R4119,28,71
R4120,19,33
R4121,0,0
R4122,81,64
R4123,68,85
R4124,7,50
R4125,41,54
R4126,54,72
R4127,54,33
R4128,34,77
R4129,88,17
R4130,39,51
R4131,50,91
R4132,50,11
R4133,66,69
R4134,35,13
R4135,84,53
R4136,59,64
R4137,57,99
R4138,40,53
R4139,53,94
R4140,55,88
R4141,54,7
R4142,32,100
R4143,75,87
R4144,44,0
R4145,95,83
R4146,92,83
R4147,91,24
R4148,13,70
R4149,21,27
R4150,47,61
R4151,66,91
R4152,93,41
R4153,61,90
R4154,78,43
R4155,53,40
R4156,17,47
R4157,82,13
R4158,14,7
R4159,54,37
R4160,87,94
R4161,71,91
R4162,53,36
R4163,26,19
R4164,26,16
R4165,28,54
R4166,36,57
R4167,50,59
R4168,49,67
R4169,76,5
R4170,61,98
R4171,88,29
R4172,9,79
R4173,90,80
R4174,81,35
R4175,0,35
R4176,65,18
R4177,9,41
R4178,73,36
R4179,46,51
R4180,70,95
R4181,89,8
R4182,31,56
R4183,54,75
R4184,95,20
R4185,53,97
R4186,34,56
R4187,75,32
R4188,15,90
R4189,68,46
R4190,97,63
R4191,66,76
R4192,40,19
R4193,15,43
R4194,96,58
R4195,83,97
R4196,14,5
R4197,77,91
R4198,58,74
R4199,32,53
R4200,26,34
R4201,65,10
R4202,2,20
R4203,16,8
R4204,78,39
R4205,40,21
R4206,66,8
R4207,86,96
R4208,82,1
R4209,1,31
R4210,42,91
R4211,70,3
R4212,79,83
R4213,8,63
R4214,58,48
R4215,63,6
R4216,46,29
R4217,93,83
R4218,55,10
R4219,75,17
R4220,88,86
R4221,57,54
R4222,28,25
R4223,54,27
R4224,79,15
R4225,17,2
R4226,10,75
R4227,44,61
R4228,39,68
R4229,78,35
R4230,20,16
R4231,45,46
R4232,59,66
R4233,34,10
R4234,59,35
R4235,14,14
R4236,17,24
R4237,32,96
R4238,42,75
R4239,60,30
R4240,85,75
R4241,39,74
R4242,86,44
R4243,54,0
R4244,13,75
R4245,72,82
R4246,90,73
R4247,25,73
R4248,9,26
R4249,63,38
R4250,58,5
R4251,86,4
R4252,77,2
R4253,4,12
R4254,79,84
R4255,54,76
R4256,94,38
R4257,18,39
R4258,97,6
R4259,80,78
R4260,62,87
R4261,53,9
R4262,72,54
R4263,9,53
R4264,49,17
R4265,36,90
R4266,7,7
R4267,64,7
R4268,89,64
R4269,27,76
R4270,82,30
R4271,6,75
R4272,54,81
R4273,58,66
R4274,90,26
R4275,60,4
R4276,22,7
R4277,82,69
R4278,70,62
R4279,24,93
R4280,92,96
R4281,57,83
R4282,57,33
R4283,34,55
R4284,85,36
R4285,0,93
R4286,28,86
R4287,68,95
R4288,68,83
R4289,49,96
R4290,77,48
R4291,87,22
R4292,37,15
R4293,81,91
R4294,9,46
R4295,9,99
R4296,31,51
R4297,93,26
R4298,59,12
R4299,96,99
R4300,85,76
R4301,87,79
R4302,87,18
R4303,85,57
R4304,7,59
R4305,30,86
R4306,4,90
R4307,55,87
R4308,10,2
R4309,5,41
R4310,17,96
R4311,13,97
R4312,35,78
R4313,36,57
R4314,21,8
R4315,12,43
R4316,70,2
R4317,67,47
R4318,48,20
R4319,48,82
R4320,44,79
R4321,85,59
R4322,26,5
R4323,76,33
R4324,23,45
R4325,18,85
R4326,75,24
R4327,1,10
R4328,21,72
R4329,93,33
R4330,35,4
R4331,83,62
R4332,63,75
R4333,61,65
R4334,89,95
R4335,70,17
R4336,62,94
R4337,50,52
R4338,70,58
R4339,37,20
R4340,48,76
R4341,72,82
R4342,42,65
R4343,90,64
R4344,95,84
R4345,51,1
R4346,4,59
R4347,62,73
R4348,8,29
R4349,73,61
R4350,31,62
R4351,95,20
R4352,55,81
R4353,67,76
R4354,98,24
R4355,2,18
R4356,19,65
R4357,58,22
R4358,62,13
R4359,90,72
R4360,0,91
R4361,4,85
R4362,9,90
R4363,94,25
R4364,61,1
R4365,41,0
R4366,43,9
R4367,60,49
R4368,100,45
R4369,14,10
R4370,36,3
R4371,87,73
R4372,38,50
R4373,44,89
R4374,13,67
R4375,26,24
R4376,82,34
R4377,56,39
R4378,85,77
R4379,63,86
R4380,2,64
R4381,16,49
R4382,75,37
R4383,65,5
R4384,15,84
R4385,77,8
R4386,98,40
R4387,41,54
R4388,30,43
R4389,31,93
R4390,21,33
R4391,52,96
R4392,46,7
R4393,50,39
R4394,60,17
R4395,2,63
R4396,74,85
R4397,0,31
R4398,81,95
R4399,29,99
R4400,43,83
R4401,100,72
R4402,34,6
R4403,77,45
R4404,42,43
R4405,31,44
R4406,0,96
R4407,69,78
R4408,32,99
R4409,44,33
R4410,83,15
R4411,3,33
R4412,60,76
R4413,58,83
R4414,67,80
R4415,19,51
R4416,99,57
R4417,8,62
R4418,24,98
R4419,96,77
R4420,19,71
R4421,78,88
R4422,55,100
R4423,94,33
R4424,30,31
R4425,42,15
R4426,31,98
R4427,61,74
R4428,93,18
R4429,86,62
R4430,48,94
R4431,24,92
R4432,77,66
R4433,20,55
R4434,14,89
R4435,4,77
R4436,94,98
R4437,12,77
R4438,96,80
R4439,48,12
R4440,60,83
R4441,76,50
R4442,14,27
R4443,48,31
R4444,50,86
R4445,15,82
R4446,92,54
R4447,78,62
R4448,43,51
R4449,55,64
R4450,68,78
R4451,58,96
R4452,19,68
R4453,73,13
R4454,69,14
R4455,98,59
R4456,38,42
R4457,71,32
R4458,34,80
R4459,60,56
R4460,94,38
R4461,81,84
R4462,14,32
R4463,63,80
R4464,2,20
R4465,57,40
R4466,35,20
R4467,56,43
R4468,78,21
R4469,95,21
R4470,24,87
R4471,22,7
R4472,5,10
R4473,35,75
R4474,94,84
R4475,93,13
R4476,70,86
R4477,51,18
R4478,92,24
R4479,20,68
R4480,84,11
R4481,68,36
R4482,95,37
R4483,36,72
R4484,6,0
R4485,9,91
R4486,21,10
R4487,58,33
R4488,44,96
R4489,58,66
R4490,28,51
R4491,82,99
R4492,93,87
R4493,21,2
R4494,93,33
R4495,13,22
R4496,40,8
R4497,0,22
R4498,14,67
R4499,53,72
R4500,94,28
R4501,59,91
R4502,93,53
R4503,80,1
R4504,13,69
R4505,73,17
R4506,32,53
R4507,16,43
R4508,84,83
R4509,82,25
R4510,23,25
R4511,57,5
R4512,37,32
R4513,97,27
R4514,26,51
R4515,60,12
R4516,26,71
R4517,74,48
R4518,94,30
R4519,47,70
R4520,19,35
R4521,61,11
R4522,2,33
R4523,80,78
R4524,90,70
R4525,33,52
R4526,61,99
R4527,81,78
R4528,78,90
R4529,93,25
R4530,40,54
R4531,32,90
R4532,13,37
R4533,65,90
R4534,52,34
R4535,62,80
R4536,29,72
R4537,12,81
R4538,66,79
R4539,91,10
R4540,100,2
R4541,51,87
R4542,4,20
R4543,46,30
R4544,53,60
R4545,24,99
R4546,82,99
R4547,64,98
R4548,51,26
R4549,48,35
R4550,79,55
R4551,96,10
R4552,55,77
R4553,74,87
R4554,38,95
R4555,80,96
R4556,35,73
R4557,65,31
R4558,72,81
R4559,31,37
R4560,42,5
R4561,21,30
R4562,68,92
R4563,78,60
R4564,2,88
R4565,82,3
R4566,90,49
R4567,49,20
R4568,54,54
R4569,10,18
R4570,31,69
R4571,38,92
R4572,37,84
R4573,17,94
R4574,21,84
R4575,79,60
R4576,83,24
R4577,94,43
R4578,69,31
R4579,73,28
R4580,56,89
R4581,36,73
R4582,8,25
R4583,50,16
R4584,87,10
R4585,54,41
R4586,16,1
R4587,46,94
R4588,94,35
R4589,10,7
R4590,19,80
R4591,33,68
R4592,73,56
R4593,14,7
R4594,14,86
R4595,15,39
R4596,90,26
R4597,42,24
R4598,76,14
R4599,98,74
R4600,33,52
R4601,43,84
R4602,9,27
R4603,97,71
R4604,7,65
R4605,16,20
R4606,94,44
R4607,18,68
R4608,77,29
R4609,28,20
R4610,10,0
R4611,33,0
R4612,91,21
R4613,77,43
R4614,98,25
R4615,99,23
R4616,35,98
R4617,3,50
R4618,51,45
R4619,95,76
R4620,59,11
R4621,60,69
R4622,2,96
R4623,62,59
R4624,46,68
R4625,52,29
R4626,43,53
R4627,62,38
R4628,37,10
R4629,88,29
R4630,43,44
R4631,14,53
R4632,24,81
R4633,56,69
R4634,24,26
R4635,0,48
R4636,40,93
R4637,96,58
R4638,24,86
R4639,64,66
R4640,71,66
R4641,39,55
R4642,54,10
R4643,87,39
R4644,77,4
R4645,25,26
R4646,11,92
R4647,75,12
R4648,44,21
R4649,75,0
R4650,19,5
R4651,9,68
R4652,66,2
R4653,41,80
R4654,69,41
R4655,54,20
R4656,58,91
R4657,68,54
R4658,36,85
R4659,71,26
R4660,98,68
R4661,77,16
R4662,82,95
R4663,73,62
R4664,98,66
R4665,96,77
R4666,29,15
R4667,20,36
R4668,45,97
R4669,57,82
R4670,90,36
R4671,42,59
R4672,41,53
R4673,62,95
R4674,42,68
R4675,15,20
R4676,60,88
R4677,49,76
R4678,30,41
R4679,79,89
R4680,77,71
R4681,43,72
R4682,16,69
R4683,47,98
R4684,61,98
R4685,12,78
R4686,69,50
R4687,3,41
R4688,67,77
R4689,57,23
R4690,99,32
R4691,33,5
R4692,29,20
R4693,12,5
R4694,65,81
R4695,74,41
R4696,29,100
R4697,44,6
R4698,60,53
R4699,27,61
R4700,51,13
R4701,51,64
R4702,1,90
R4703,88,75
R4704,32,66
R4705,84,21
R4706,80,11
R4707,66,52
R4708,92,81
R4709,25,98
R4710,33,26
R4711,50,64
R4712,67,43
R4713,59,73
R4714,62,71
R4715,28,32
R4716,60,85
R4717,58,47
R4718,47,1
R4719,29,71
R4720,98,66
R4721,54,87
R4722,14,32
R4723,69,37
R4724,41,1
R4725,97,59
R4726,34,10
R4727,43,76
R4728,80,64
R4729,66,38
R4730,5,28
R4731,21,39
R4732,24,40
R4733,58,21
R4734,12,43
R4735,82,31
R4736,27,97
R4737,27,93
R4738,17,46
R4739,78,21
R4740,94,53
R4741,19,85
R4742,14,56
R4743,78,53
R4744,63,69
R4745,66,66
R4746,37,31
R4747,92,7
R4748,34,15
R4749,37,40
R4750,41,44
R4751,82,0
R4752,98,80
R4753,55,24
R4754,97,39
R4755,11,96
R4756,57,22
R4757,80,56
R4758,3,8
R4759,7,93
R4760,5,30
R4761,96,43
R4762,72,71
R4763,10,92
R4764,53,47
R4765,40,17
R4766,67,0
R4767,85,89
R4768,35,64
R4769,96,72
R4770,69,63
R4771,22,18
R4772,98,15
R4773,33,42
R4774,86,99
R4775,64,42
R4776,68,71
R4777,44,96
R4778,48,44
R4779,75,88
R4780,55,29
R4781,88,55
R4782,100,44
R4783,40,90
R4784,55,86
R4785,19,88
R4786,33,29
R4787,18,47
R4788,6,1
R4789,29,37
R4790,27,9
R4791,47,47
R4792,53,32
R4793,67,13
R4794,77,30
R4795,18,76
R4796,51,13
R4797,3,24
R4798,18,97
R4799,60,98
R4800,68,89
R4801,40,17
R4802,79,13
R4803,53,0
R4804,21,96
R4805,99,1
R4806,67,44
R4807,40,96
R4808,97,74
R4809,6,60
R4810,76,2
R4811,82,73
R4812,62,35
R4813,26,83
R4814,57,86
R4815,90,26
R4816,43,15
R4817,4,36
R4818,17,58
R4819,39,16
R4820,11,26
R4821,26,65
R4822,25,27
R4823,48,11
R4824,18,88
R4825,46,56
R4826,26,33
R4827,87,47
R4828,22,55
R4829,98,7
R4830,33,47
R4831,89,65
R4832,16,91
R4833,85,62
R4834,52,18
R4835,90,37
R4836,56,75
R4837,45,36
R4838,46,1
R4839,16,15
R4840,98,43
R4841,95,85
R4842,20,67
R4843,11,44
R4844,90,19
R4845,72,67
R4846,69,0
R4847,72,49
R4848,87,8
R4849,85,62
R4850,6,40
R4851,75,88
R4852,57,61
R4853,23,11
R4854,30,65
R4855,45,6
R4856,99,83
R4857,85,38
R4858,92,45
R4859,96,43
R4860,54,42
R4861,65,70
R4862,87,59
R4863,42,24
R4864,47,13
R4865,16,52
R4866,80,56
R4867,83,53
R4868,1,75
R4869,43,54
R4870,90,39
R4871,52,62
R4872,31,80
R4873,58,17
R4874,40,40
R4875,80,55
R4876,54,74
R4877,28,29
R4878,3,27
R4879,88,47
R4880,54,13
R4881,33,77
R4882,42,62
R4883,96,85
R4884,29,17
R4885,23,5
R4886,65,70
R4887,56,4
R4888,61,14
R4889,32,69
R4890,6,44
R4891,81,89
R4892,59,83
R4893,23,91
R4894,56,29
R4895,46,15
R4896,19,33
R4897,91,51
R4898,81,24
R4899,27,26
R4900,59,84
R4901,50,65
R4902,74,63
R4903,85,25
R4904,41,8
R4905,28,15
R4906,8,56
R4907,28,22
R4908,94,61
R4909,93,86
R4910,99,20
R4911,87,0
R4912,9,15
R4913,64,55
R4914,55,74
R4915,85,52
R4916,36,58
R4917,14,4
R4918,6,88
R4919,1,87
R4920,78,86
R4921,38,24
R4922,89,99
R4923,42,39
R4924,89,52
R4925,30,49
R4926,98,2
R4927,71,71
R4928,70,38
R4929,34,86
R4930,74,80
R4931,60,12
R4932,21,91
R4933,46,90
R4934,23,46
R4935,17,2
R4936,43,87
R4937,57,91
R4938,0,32
R4939,98,75
R4940,76,55
R4941,83,85
R4942,31,54
R4943,90,100
R4944,89,53
R4945,25,65
R4946,36,89
R4947,70,61
R4948,27,44
R4949,70,91
R4950,9,42
R4951,61,20
R4952,51,72
R4953,52,43
R4954,93,29
R4955,75,98
R4956,88,25
R4957,46,78
R4958,87,59
R4959,14,81
R4960,17,24
R4961,7,68
R4962,43,76
R4963,99,27
R4964,54,92
R4965,88,8
R4966,89,87
R4967,100,83
R4968,18,15
R4969,34,14
R4970,41,48
R4971,20,23
R4972,87,86
R4973,98,7
R4974,92,89
R4975,97,34
R4976,67,66
R4977,92,36
R4978,60,25
R4979,55,65
R4980,97,19
R4981,38,57
R4982,93,34
R4983,13,99
R4984,59,94
R4985,2,9
R4986,12,65
R4987,95,71
R4988,30,29
R4989,89,12
R4990,16,18
R4991,73,59
R4992,92,14
R4993,19,28
R4994,57,58
R4995,61,53
R4996,62,80
R4997,63,58
R4998,64,21
R4999,64,8
R5000,22,94
R5001,78,42
R5002,69,8
R5003,73,21
R5004,50,37
R5005,34,92
R5006,73,22
R5007,92,32
R5008,17,25
R5009,11,37
R5010,100,19
R5011,32,93
R5012,94,14
R5013,15,58
R5014,76,39
R5015,36,10
R5016,100,70
R5017,20,60
R5018,47,87
R5019,20,11
R5020,21,53
R5021,42,54
R5022,51,9
R5023,42,63
R5024,89,77
R5025,75,18
R5026,82,84
R5027,78,3
R5028,87,97
R5029,67,93
R5030,55,34
R5031,88,44
R5032,51,78
R5033,36,7
R5034,68,43
R5035,58,29
R5036,75,38
R5037,91,76
R5038,90,3
R5039,71,59
R5040,28,97
R5041,78,23
R5042,74,55
R5043,97,85
R5044,1,43
R5045,95,10
R5046,83,21
R5047,30,93
R5048,88,40
R5049,99,49
R5050,27,7
R5051,45,18
R5052,44,18
R5053,26,33
R5054,9,28
R5055,36,6
R5056,51,63
R5057,7,99
R5058,19,5
R5059,32,54
R5060,30,9
R5061,34,68
R5062,8,17
R5063,84,84
R5064,43,59
R5065,23,61
R5066,17,17
R5067,72,16
R5068,86,10
R5069,67,80
R5070,90,38
R5071,56,10
R5072,49,59
R5073,29,69
R5074,11,56
R5075,78,41
R5076,98,58
R5077,17,25
R5078,98,18
R5079,71,43
R5080,10,63
R5081,62,9
R5082,93,94
R5083,7,97
R5084,93,7
R5085,93,65
R5086,35,22
R5087,8,99
R5088,6,5
R5089,4,48
R5090,7,30
R5091,89,15
R5092,26,10
R5093,32,46
R5094,65,34
R5095,76,76
R5096,59,33
R5097,11,78
R5098,37,50
R5099,99,44
R5100,88,10
R5101,54,64
R5102,87,17
R5103,44,30
R5104,19,46
R5105,35,64
R5106,75,1
R5107,33,38
R5108,89,65
R5109,71,28
R5110,80,70
R5111,83,100
R5112,48,98
R5113,16,33
R5114,37,96
R5115,79,75
R5116,51,16
R5117,12,87
R5118,27,31
R5119,84,68
R5120,68,75
R5121,64,45
R5122,99,26
R5123,51,81
R5124,55,75
R5125,43,37
R5126,40,60
R5127,41,78
R5128,97,65
R5129,46,85
R5130,24,7
R5131,66,88
R5132,48,24
R5133,17,56
R5134,89,73
R5135,42,50
R5136,1,18
R5137,12,63
R5138,82,1
R5139,99,92
R5140,47,56
R5141,97,7
R5142,39,83
R5143,77,32
R5144,9,76
R5145,65,78
R5146,66,55
R5147,44,84
R5148,56,97
R5149,14,2
R5150,98,90
R5151,96,58
R5152,47,27
R5153,100,57
R5154,15,37
R5155,44,19
R5156,31,83
R5157,10,50
R5158,55,28
R5159,35,28
R5160,93,41
R5161,19,14
R5162,13,0
R5163,55,96
R5164,41,99
R5165,5,31
R5166,82,87
R5167,59,24
R5168,90,20
R5169,65,94
R5170,9,93
R5171,0,61
R5172,68,15
R5173,30,17
R5174,36,82
R5175,68,69
R5176,32,73
R5177,41,72
R5178,30,81
R5179,14,18
R5180,90,98
R5181,94,70
R5182,51,81
R5183,8,33
R5184,77,7
R5185,11,67
R5186,19,59
R5187,79,74
R5188,95,90
R5189,3,82
R5190,41,92
R5191,14,57
R5192,86,12
R5193,40,18
R5194,94,35
R5195,6,71
R5196,86,14
R5197,76,20
R5198,72,35
R5199,91,55
R5200,30,65
R5201,80,65
R5202,67,35
R5203,90,22
R5204,56,66
R5205,99,73
R5206,7,54
R5207,65,9
R5208,77,31
R5209,75,99
R5210,64,45
R5211,58,69
R5212,87,55
R5213,6,93
R5214,55,28
R5215,65,53
R5216,13,52
R5217,47,53
R5218,70,84
R5219,23,72
R5220,53,100
R5221,78,24
R5222,85,81
R5223,51,36
R5224,68,73
R5225,89,70
R5226,23,89
R5227,76,3
R5228,70,34
R5229,24,8
R5230,57,12
R5231,69,76
R5232,78,15
R5233,85,85
R5234,15,21
R5235,99,30
R5236,60,87
R5237,38,44
R5238,46,52
R5239,45,100
R5240,36,40
R5241,10,85
R5242,98,74
R5243,86,40
R5244,17,13
R5245,17,59
R5246,42,63
R5247,23,67
R5248,61,6
R5249,85,63
R5250,84,19
R5251,56,100
R5252,58,52
R5253,24,100
R5254,79,19
R5255,33,8
R5256,96,80
R5257,67,57
R5258,66,45
R5259,29,43
R5260,69,30
R5261,33,91
R5262,84,20
R5263,56,90
R5264,29,49
R5265,96,54
R5266,87,25
R5267,96,3
R5268,79,17
R5269,80,28
R5270,10,55
R5271,86,62
R5272,49,82
R5273,86,38
R5274,23,89
R5275,41,88
R5276,41,38
R5277,49,15
R5278,27,96
R5279,61,69
R5280,72,46
R5281,10,6
R5282,13,50
R5283,79,68
R5284,29,78
R5285,79,17
R5286,88,94
R5287,67,23
R5288,96,12
R5289,7,42
R5290,45,55
R5291,47,49
R5292,59,77
R5293,42,53
R5294,65,53
R5295,81,77
R5296,41,86
R5297,20,36
R5298,29,27
R5299,91,3
R5300,53,21
R5301,16,58
R5302,56,50
R5303,56,49
R5304,95,61
R5305,36,84
R5306,15,54
R5307,3,58
R5308,43,83
R5309,85,59
R5310,93,6
R5311,94,77
R5312,14,41
R5313,87,87
R5314,17,44
R5315,55,74
R5316,45,2
R5317,24,27
R5318,49,91
R5319,57,77
R5320,89,17
R5321,76,1
R5322,38,84
R5323,98,35
R5324,49,65
R5325,49,84
R5326,26,23
R5327,84,11
R5328,32,40
R5329,58,96
R5330,37,10
R5331,76,72
R5332,8,8
R5333,1,35
R5334,62,51
R5335,34,66
R5336,17,100
R5337,24,86
R5338,12,2
R5339,89,80
R5340,30,20
R5341,93,90
R5342,24,63
R5343,57,70
R5344,87,27
R5345,16,36
R5346,23,60
R5347,7,77
R5348,20,88
R5349,48,91
R5350,88,47
R5351,59,37
R5352,48,79
R5353,54,99
R5354,48,92
R5355,0,46
R5356,44,44
R5357,65,66
R5358,38,3
R5359,32,84
R5360,25,99
R5361,89,57
R5362,77,5
R5363,45,89
R5364,41,45
R5365,4,45
R5366,45,60
